Name,Lovibond,Gravity Points,Description,Type
Acidulated (Sauer) Malt,1.7-2.8°,1.033,"High lactic acid. For lambics, sour mash beers, Irish stout, pilsners and wheats.",German
Amber Malt,35°,1.032,"Roasted malt used in British milds, old ales, brown ales, nut brown ales.",British
Aromatic Malt,20-26°,1.036,"Imparts a big malt aroma. Use in brown ales, Belgian dubbels and tripels.",Belgian 
Belgian Candi Sugar (clear),0.5°,1.036,"Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels, amber for dubbels, and dark is used in brown beer and strong golden ales.",Sugars
Biscuit Malt,23-25°,1.035,Warm baked biscuit flavor and aroma. Increases body. Use in Belgian beers.,Belgian 
Black Barley,525°,1.023-27,Imparts dryness. Unmalted; use in porters and dry stouts.,American
Black Patent Malt,500°,1.026,Provides color and sharp flavor in stouts and porters.,American
Black Patent Malt,500-600°,1.026,"Dry, burnt, chalky character. Use in porters, stouts, brown ales and dark lagers.",British
Brown Malt,65°,1.032,"Imparts a dry, biscuit flavor. Use in porters, brown, nut brown and Belgian ales.",British
Brown Sugar,40°,1.046,"Imparts rich, sweet flavor. Use in Scottish ales, old ales and holiday beers.",Sugars
Candi Sugar (amber),75°,1.036,"Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels, amber for dubbels, and dark is used in brown beer and strong golden ales.",Sugars
Candi Sugar (dark),275&edg;,1.036,"Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels, amber for dubbels, and dark is used in brown beer and strong golden ales.",Sugars
Carafa I,300-340°,1.038,"Gives deep aroma and color to dark beers, bocks, stout, alt and schwarzbier.",German
Carafa II,375-450°,1.038,"Carafa I, II and III also are available de-husked. Adds aroma, color and body.",German
Carafa III,490-560°,,,German
CaraHell Malt (light crystal),8-12°,1.033-35,"For light colored beer for body; hefeweizen, pale ale, golden ale, Oktoberfest.",German
Caramel Wheat Malt,38-53°,1.035,"For dark ales, hefeweizen, dunkelweizen, wheat bocks and double bocks.",German
Caramunich Malt,56°,1.033,"Caramel, full flavor, copper color. For Belgian ales, German smoked and bocks.",Belgian 
CaraMunich Malt I,30-38°,1.033-35,"Provides body. For Oktoberfest, bock, porter, stout, red, amber and brown ales.",German
CaraMunich Malt II,42-50°,1.033-35,CaraMunich Malt III is dark crystal.,German
CaraMunich Malt III,53-60°,1.033-35,,German
Cara-Pils Dextrin,10-14°,1.033,"Adds body; aids head retention. For porters, stouts and heavier bodied beers.",British
Caravienne Malt,21-22°,1.034,Belgian light crystal malt. Used in lighter Abbey or Trappist style ales.,Belgian 
Chocolate Malt,350°,1.034,"Use in all types to adjust color and add nutty, toasted flavor. Chocolate flavor.",American
Chocolate Malt,395-475°,1.034,"Nutty, toasted flavor, brown color. Use in brown ales, porters, stouts and bocks.",British
Chocolate Rye Malt,190-300°,1.03,Enhances aroma of dark ales and improves color. For dunkel rye wheat and ale.,German
Chocolate Wheat Malt,375-450°,1.038,"Intensifies aroma; improves color. For dark ales, alt, dark wheat, stout and porter.",German
Corn Sugar,1°,1.037,Use in priming beer or in extract recipes where flaked maize would be used in a mash.,Sugars
Crystal Malt,10°,1.033-35,"Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",American
Crystal Malt,20°,1.033-35,"Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",American
Crystal Malt,30°,1.033-35,"Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",American
Crystal Malt,40°,1.033-35,"Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",American
Crystal Malt,60°,1.033-35,"Sweet caramel flavor, deep golden to red color. For dark amber and brown ales.",American
Crystal Malt,80°,1.033-35,"Sweet, smooth caramel flavor and a red to deep red color. For porters, old ales.",American
Crystal Malt,90°,1.033-35,"Pronounced caramel flavor and a red color. For stouts, porters and black beers.",American
Crystal Malt,120°,1.033-35,"Pronounced caramel flavor and a red color. For stouts, porters and black beers.",American
Crystal Malt,55-60°,1.033-35,"Sweet caramel flavor, adds mouthfeel and head retention. For pale or amber ales.",British
Dark Brown Sugar,60°,1.046,"Imparts rich, sweet flavor. Use in Scottish ales, old ales and holiday beers.",Sugars
Dark Crystal Malt,145-188°,1.033-35,"Sweet caramel flavor, mouthfeel. For porters, stouts, old ales and any dark ale.",British
Dark Munich Malt,8-10°,1.034,"Enhances body and aroma. Stout, schwarzbier, brown ale, dark and amber ales.",German
Demerara Sugar,1°,1.041-42,"Imparts mellow, sweet flavor. Use in English ales.",Sugars
